"","gene","EC_number","COG","product","MAG"
"2050","yybR","","COG1733","putative HTH-type transcriptional regulator YybR","Unknown Burkholderiaceae"
"2051","frmA","1.1.1.284","COG1062","S-(hydroxymethyl)glutathione dehydrogenase","Unknown Burkholderiaceae"
"2052","eutC","4.3.1.7","COG4302","Ethanolamine ammonia-lyase light chain","Unknown Burkholderiaceae"
"2053","eutB","4.3.1.7","COG4303","Ethanolamine ammonia-lyase heavy chain","Unknown Burkholderiaceae"
"2054","yhdG","","COG0531","putative amino acid permease YhdG","Unknown Burkholderiaceae"
"2055","ald1","1.2.1.48","","Long-chain-aldehyde dehydrogenase","Unknown Burkholderiaceae"
"2056","degU","","COG2197","Transcriptional regulatory protein DegU","Unknown Burkholderiaceae"
"2057","udk","2.7.1.48","","Uridine kinase","Unknown Burkholderiaceae"
"2058","gabR","","COG1167","HTH-type transcriptional regulatory protein GabR","Unknown Burkholderiaceae"
"2059","pabB","2.6.1.85","COG0147","Aminodeoxychorismate synthase component 1","Unknown Burkholderiaceae"
"2060","esiB","","","Secretory immunoglobulin A-binding protein EsiB","Unknown Burkholderiaceae"
"2061","ubiD","4.1.1.98","COG0043","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","Unknown Burkholderiaceae"
"2062","hhaIM","2.1.1.37","","Modification methylase HhaI","Unknown Burkholderiaceae"
"2063","ctpB","3.4.21.102","COG0793","Carboxy-terminal processing protease CtpB","Unknown Burkholderiaceae"
"2064","yibN","","COG0607","putative protein YibN","Unknown Burkholderiaceae"
"2065","tpx","1.11.1.15","","Thiol peroxidase","Unknown Burkholderiaceae"
"2066","puuB","1.4.3.-","","Gamma-glutamylputrescine oxidoreductase","Unknown Burkholderiaceae"
"2067","potH","","COG1176","Putrescine transport system permease protein PotH","Unknown Burkholderiaceae"
"2068","potF","","COG0687","Putrescine-binding periplasmic protein","Unknown Burkholderiaceae"
"2069","puuA","6.3.1.11","COG0174","Gamma-glutamylputrescine synthetase PuuA","Unknown Burkholderiaceae"
"2070","fadN","1.1.1.35","COG1024","putative 3-hydroxyacyl-CoA dehydrogenase","Unknown Burkholderiaceae"
"2071","acnR","","COG1309","HTH-type transcriptional repressor AcnR","Unknown Burkholderiaceae"
"2072","csaA","","COG0073","putative chaperone CsaA","Unknown Burkholderiaceae"
"2073","todS","2.7.13.3","","Sensor histidine kinase TodS","Unknown Burkholderiaceae"
"2074","hpnR","2.1.1.-","COG1032","Hopanoid C-3 methylase","Unknown Burkholderiaceae"
"2075","pao","1.4.3.24","","Pseudooxynicotine oxidase","Unknown Burkholderiaceae"
"2076","ypjD","","COG4137","Inner membrane protein YpjD","Unknown Burkholderiaceae"
"2077","prtR","","COG2932","HTH-type transcriptional regulator PrtR","Unknown Burkholderiaceae"
"2078","leuD","4.2.1.33","COG0066","3-isopropylmalate dehydratase small subunit","Unknown Burkholderiaceae"
"2079","leuC1","4.2.1.33","COG0065","3-isopropylmalate dehydratase large subunit 1","Unknown Burkholderiaceae"
"2080","steT","","COG0531","Serine/threonine exchanger SteT","Unknown Burkholderiaceae"
"2081","gbh","3.5.3.7","","Guanidinobutyrase","Unknown Burkholderiaceae"
"2082","rseP","3.4.24.-","COG0750","Regulator of sigma-E protease RseP","Unknown Burkholderiaceae"
"2083","mtaD","3.5.4.28","COG0402","5-methylthioadenosine/S-adenosylhomocysteine deaminase","Unknown Burkholderiaceae"
"2084","uhpT","","COG2271","Hexose-6-phosphate:phosphate antiporter","Unknown Burkholderiaceae"
"2085","ehaG","","COG5295","Autotransporter adhesin EhaG","Unknown Burkholderiaceae"
"2086","lrpC","","COG1522","HTH-type transcriptional regulator LrpC","Unknown Burkholderiaceae"
"2087","bioB","2.8.1.6","COG0502","Biotin synthase","Unknown Burkholderiaceae"
"2088","psaB","1.97.1.12","","Photosystem I P700 chlorophyll a apoprotein A2","Unknown Burkholderiaceae"
"2089","PGdx","1.11.1.15","COG0678","Hybrid peroxiredoxin hyPrx5","Unknown Burkholderiaceae"
"2090","lpd3","1.8.1.4","COG1249","Dihydrolipoyl dehydrogenase 3","Unknown Burkholderiaceae"
"2091","pigC","6.4.-.-","","Prodigiosin synthesizing transferase PigC","Unknown Burkholderiaceae"
"2092","nadA","2.5.1.72","COG0379","Quinolinate synthase A","Unknown Burkholderiaceae"
"2093","nadC","2.4.2.19","COG0157","Nicotinate-nucleotide pyrophosphorylase [carboxylating]","Unknown Burkholderiaceae"
"2094","pld","3.1.4.4","","Phospholipase D","Unknown Burkholderiaceae"
"2095","mscM","","COG3264","Miniconductance mechanosensitive channel MscM","Unknown Burkholderiaceae"
"2096","ywaC","2.7.6.5","COG2357","GTP pyrophosphokinase YwaC","Unknown Burkholderiaceae"
"2097","ybjJ","","","Inner membrane protein YbjJ","Unknown Burkholderiaceae"
"2098","fhuC","3.6.3.34","COG1120","Iron(3+)-hydroxamate import ATP-binding protein FhuC","Unknown Burkholderiaceae"
"2099","baeR","","COG0745","Transcriptional regulatory protein BaeR","Unknown Burkholderiaceae"
"2100","baeS","2.7.13.3","COG0642","Signal transduction histidine-protein kinase BaeS","Unknown Burkholderiaceae"
"2101","feoB","","COG0370","Fe(2+) transporter FeoB","Unknown Burkholderiaceae"
"2102","lacF","","","Lactose transport system permease protein LacF","Unknown Burkholderiaceae"
"2103","yqaB","3.1.3.-","COG0637","Fructose-1-phosphate phosphatase YqaB","Unknown Burkholderiaceae"
"2104","lsrR","","COG2390","Transcriptional regulator LsrR","Unknown Burkholderiaceae"
"2105","por","1.1.1.-","COG0246","Polyol:NADP oxidoreductase","Unknown Burkholderiaceae"
"2106","colD","4.2.1.168","","GDP-4-keto-6-deoxy-D-mannose 3-dehydratase","Unknown Burkholderiaceae"
"2107","ata","","","Adhesin Ata autotransporter","Unknown Burkholderiaceae"
"2108","rpoB","2.7.7.6","","DNA-directed RNA polymerase subunit beta","Unknown Burkholderiaceae"
"2109","rplK","","COG0080","50S ribosomal protein L11","Unknown Burkholderiaceae"
"2110","nusG","","COG0250","Transcription termination/antitermination protein NusG","Unknown Burkholderiaceae"
"2111","secE","","COG0690","Protein translocase subunit SecE","Unknown Burkholderiaceae"
"2112","rfbC","5.1.3.13","COG1898","dTDP-4-dehydrorhamnose 3,5-epimerase","Unknown Burkholderiaceae"
"2113","rfbX","","COG2244","Putative O-antigen transporter","Unknown Burkholderiaceae"
"2114","wecB","5.1.3.14","COG0381","UDP-N-acetylglucosamine 2-epimerase","Unknown Burkholderiaceae"
"2115","wbbL2","","","putative protein","Unknown Burkholderiaceae"
"2116","pglC","2.7.8.36","COG2148","Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase","Unknown Burkholderiaceae"
"2117","thrS","6.1.1.3","COG0441","Threonine--tRNA ligase","Unknown Burkholderiaceae"
"2118","infC","","COG0290","Translation initiation factor IF-3","Unknown Burkholderiaceae"
"2119","rpmI","","COG0291","50S ribosomal protein L35","Unknown Burkholderiaceae"
"2120","rplT","","COG0292","50S ribosomal protein L20","Unknown Burkholderiaceae"
"2121","ytrB","","COG1131","ABC transporter ATP-binding protein YtrB","Unknown Burkholderiaceae"
"2122","bsdB","2.5.1.129","COG0163","putative UbiX-like flavin prenyltransferase","Unknown Burkholderiaceae"
"2123","pppA","","COG1989","Leader peptidase PppA","Unknown Burkholderiaceae"
"2124","treP","2.4.1.64","","Alpha,alpha-trehalose phosphorylase","Unknown Burkholderiaceae"
"2125","mcrB","3.1.21.-","COG1401","5-methylcytosine-specific restriction enzyme B","Unknown Burkholderiaceae"
"2126","typA","","COG1217","GTP-binding protein TypA/BipA","Unknown Burkholderiaceae"
"2127","dfrA","1.5.1.3","COG0262","Dihydrofolate reductase","Unknown Burkholderiaceae"
"2128","yodB","","COG3038","Cytochrome b561 ","Unknown Burkholderiaceae"
"2129","sigW","","COG1595","ECF RNA polymerase sigma factor SigW","Pedobacter sp."
"2130","rfaC","2.-.-.-","COG0859","Lipopolysaccharide heptosyltransferase 1","Pedobacter sp."
"2131","polX","","COG1387","DNA polymerase/3'-5' exonuclease PolX","Pedobacter sp."
"2132","sulD","","COG0801","Bifunctional folate synthesis protein","Pedobacter sp."
"2133","spoIIIE","","COG1674","DNA translocase SpoIIIE","Pedobacter sp."
"2134","phnP","3.1.4.55","COG1235","Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase","Pedobacter sp."
"2135","hcf136","","","Ycf48-like protein","Pedobacter sp."
"2136","accD5","6.4.1.3","COG4799","putative propionyl-CoA carboxylase beta chain 5","Pedobacter sp."
"2137","rpoE","","","ECF RNA polymerase sigma-E factor","Pedobacter sp."
"2138","topA","5.99.1.2","COG0550","DNA topoisomerase 1","Pedobacter sp."
"2139","rlmF","2.1.1.181","COG3129","Ribosomal RNA large subunit methyltransferase F","Pedobacter sp."
"2140","divJ","2.7.13.3","","Histidine protein kinase DivJ","Pedobacter sp."
"2141","ptk","2.7.10.-","COG0489","Tyrosine-protein kinase ptk","Pedobacter sp."
"2142","tuaB","","COG2244","Teichuronic acid biosynthesis protein TuaB","Pedobacter sp."
"2143","pglJ","2.4.1.291","COG0438","N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase","Pedobacter sp."
"2144","arnB","2.6.1.87","","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase","Pedobacter sp."
"2145","tuaA","2.7.8.40","COG2148","Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase","Pedobacter sp."
"2146","asnB","6.3.5.4","COG0367","Asparagine synthetase [glutamine-hydrolyzing] 1","Pedobacter sp."
"2147","pelA","4.2.2.22","COG3866","Pectate trisaccharide-lyase","Pedobacter sp."
"2148","pglA","2.4.1.290","","N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase","Pedobacter sp."
"2149","yedW","","COG0745","putative transcriptional regulatory protein YedW","Pedobacter sp."
"2150","glyQS","6.1.1.14","","Glycine--tRNA ligase","Pedobacter sp."
"2151","yxlF","3.6.3.-","COG1131","putative ABC transporter ATP-binding protein YxlF","Pedobacter sp."
"2152","rny","3.1.-.-","COG1418","Ribonuclease Y","Pedobacter sp."
"2153","tuf","","COG0050","Elongation factor Tu","Pedobacter sp."
"2154","tsaC","2.7.7.87","COG0009","Threonylcarbamoyl-AMP synthase","Pedobacter sp."
"2155","dap4","3.4.14.5","","Dipeptidyl aminopeptidase 4","Pedobacter sp."
"2156","axe2","3.1.1.72","","Acetylxylan esterase","Pedobacter sp."
"2157","ycgM","","COG0179","putative protein YcgM","Pedobacter sp."
"2158","pepF1","3.4.24.-","","Oligoendopeptidase F, plasmid","Pedobacter sp."
"2159","ydfG","1.1.1.381","COG4221","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","Pedobacter sp."
"2160","nuoK","1.6.5.11","COG0713","NADH-quinone oxidoreductase subunit K","Pedobacter sp."
"2161","ndhD1","1.6.5.-","COG1008","NAD(P)H-quinone oxidoreductase chain 4 1","Pedobacter sp."
"2162","fucP","","COG0738","L-fucose-proton symporter","Pedobacter sp."
"2163","hppA1","3.6.1.1","COG3808","Putative K(+)-stimulated pyrophosphate-energized sodium pump","Pedobacter sp."
"2164","fpgS","6.3.2.17","","Folylpolyglutamate synthase","Pedobacter sp."
"2165","lon2","3.4.21.53","COG0466","Lon protease 2","Pedobacter sp."
"2166","gpmI","5.4.2.12","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","Pedobacter sp."
"2167","bsaA","","","Glutathione peroxidase BsaA","Pedobacter sp."
"2168","bshB1","3.5.1.-","COG2120","N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1","Pedobacter sp."
"2169","lat","2.6.1.36","COG0160","putative L-lysine-epsilon aminotransferase","Pedobacter sp."
"2170","dcyD","4.4.1.15","COG2515","D-cysteine desulfhydrase","Pedobacter sp."
"2171","pabC","4.1.3.38","COG0115","Aminodeoxychorismate lyase","Pedobacter sp."
"2172","mazG","3.6.1.8","COG1694","Nucleoside triphosphate pyrophosphohydrolase","Pedobacter sp."
"2173","pepO","3.4.24.-","COG3590","Neutral endopeptidase","Pedobacter sp."
"2174","ftsH3","3.4.24.-","","ATP-dependent zinc metalloprotease FtsH 3","Pedobacter sp."
"2175","sbcC","","COG0419","Nuclease SbcCD subunit C","Pedobacter sp."
"2176","sbcD","","COG0420","Nuclease SbcCD subunit D","Pedobacter sp."
"2177","hlyB","","COG2274","Alpha-hemolysin translocation ATP-binding protein HlyB","Pedobacter sp."
"2178","pvdQ","3.5.1.97","COG2366","Acyl-homoserine lactone acylase PvdQ","Pedobacter sp."
"2179","susC","","","TonB-dependent receptor SusC","Pedobacter sp."
"2180","bglA","3.2.1.73","","Beta-glucanase","Pedobacter sp."
"2181","tpm","2.1.1.67","","Thiopurine S-methyltransferase","Pedobacter sp."
"2182","prxU","1.11.1.15","","Selenocysteine-containing peroxiredoxin PrxU","Pedobacter sp."
"2183","fsr","","","Fosmidomycin resistance protein","Pedobacter sp."
"2184","tsdA","1.8.2.2","COG3258","Thiosulfate dehydrogenase","Pedobacter sp."
"2185","yfkN","","COG0737","Trifunctional nucleotide phosphoesterase protein YfkN","Pedobacter sp."
"2186","yrbG","","COG0530","Inner membrane protein YrbG","Pedobacter sp."
"2187","uxaC","5.3.1.12","COG1904","Uronate isomerase","Pedobacter sp."
"2188","afr","1.1.1.292","","1,5-anhydro-D-fructose reductase","Pedobacter sp."
"2189","iolX","1.1.1.370","COG0673","scyllo-inositol 2-dehydrogenase (NAD(+))","Pedobacter sp."
"2190","cvfB","","COG2996","Conserved virulence factor B","Pedobacter sp."
"2191","bchE","1.21.98.3","","Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase","Pedobacter sp."
"2192","ywaD","3.4.11.6","COG2234","Aminopeptidase YwaD","Pedobacter sp."
"2193","ilvK","2.6.1.42","COG0115","Branched-chain-amino-acid aminotransferase 2","Pedobacter sp."
"2194","serA","1.1.1.95","COG0111","D-3-phosphoglycerate dehydrogenase","Pedobacter sp."
"2195","hutG","3.5.3.8","","Formimidoylglutamase","Pedobacter sp."
"2196","xylA","5.3.1.5","COG2115","Xylose isomerase","Pedobacter sp."
"2197","lagD","3.4.22.-","","Lactococcin-G-processing and transport ATP-binding protein LagD","Pedobacter sp."
"2198","ltxD","","","Leukotoxin export protein LtxD","Pedobacter sp."
"2199","chiA1","3.2.1.14","","Chitinase A1","Pedobacter sp."
"2200","amaA","3.5.1.14","","N-acyl-L-amino acid amidohydrolase","Pedobacter sp."
"2201","dag","3.5.1.82","","N-acyl-D-glutamate deacylase","Pedobacter sp."
"2202","qrcA","1.97.-.-","","Menaquinone reductase, multiheme cytochrome c subunit","Pedobacter sp."
"2203","qrcC","1.97.-.-","COG0437","Menaquinone reductase, iron-sulfur cluster-binding subunit","Pedobacter sp."
"2204","coxM","1.9.3.1","COG1622","Alternative cytochrome c oxidase subunit 2","Pedobacter sp."
"2205","coxN","1.9.3.1","COG0843","Alternative cytochrome c oxidase subunit 1","Pedobacter sp."
"2206","ctaB1","2.5.1.-","COG0109","Protoheme IX farnesyltransferase 1","Pedobacter sp."
"2207","qoxC","1.10.3.-","","Quinol oxidase subunit 3","Pedobacter sp."
"2208","ypmQ","","COG1999","SCO1 protein ","Pedobacter sp."
"2209","resE","2.7.13.3","","Sensor histidine kinase ResE","Pedobacter sp."
"2210","walR","","COG0745","Transcriptional regulatory protein WalR","Pedobacter sp."
"2211","menA","2.5.1.74","","1,4-dihydroxy-2-naphthoate octaprenyltransferase","Pedobacter sp."
"2212","yocK","","COG1734","General stress protein 16O","Pedobacter sp."
"2213","walK","2.7.13.3","","Sensor histidine kinase WalK","Pedobacter sp."
"2214","phhA","1.14.16.1","COG3186","Phenylalanine-4-hydroxylase","Pedobacter sp."
"2215","rgtE","2.4.1.-","COG0463","Dodecaprenyl-phosphate galacturonate synthase","Pedobacter sp."
"2216","trmH","2.1.1.34","COG0566","tRNA (guanosine(18)-2'-O)-methyltransferase","Pedobacter sp."
"2217","mdtH","","","Multidrug resistance protein MdtH","Pedobacter sp."
"2218","srpA","","","Solvent efflux pump periplasmic linker SrpA","Pedobacter sp."
"2219","ppm1","2.4.1.-","","Polyprenol monophosphomannose synthase","Pedobacter sp."
"2220","spmA","","COG2715","Spore maturation protein A","Pedobacter sp."
"2221","mutS2","3.1.-.-","","Endonuclease MutS2","Pedobacter sp."
"2222","gltA2","2.3.3.16","COG0372","Citrate synthase 1","Pedobacter sp."
"2223","nupX","","COG1972","Putative nucleoside permease NupX","Pedobacter sp."
"2224","dnaC","3.6.4.12","COG0305","Replicative DNA helicase","Pedobacter sp."
"2225","nagAb","","","Naphthalene 1,2-dioxygenase/salicylate 5-hydroxylase systems, ferredoxin component","Pedobacter sp."
"2226","pntAA","1.6.1.2","COG3288","NAD(P) transhydrogenase subunit alpha part 1","Pedobacter sp."
"2227","zraR","","COG2204","Transcriptional regulatory protein ZraR","Pedobacter sp."
"2228","gpr","1.1.1.-","COG0667","L-glyceraldehyde 3-phosphate reductase","Pedobacter sp."
"2229","oar","","","Protein oar","Pedobacter sp."
"2230","dpp7","3.4.14.-","","Dipeptidyl-peptidase 7","Pedobacter sp."
"2231","glnA","6.3.1.2","","Glutamine synthetase","Pedobacter sp."
"2232","aguA","3.5.3.12","COG2957","Agmatine deiminase","Pedobacter sp."
"2233","yciF","","COG3685","Protein YciF","Pedobacter sp."
"2234","gacC","4.2.3.152","COG0337","2-epi-5-epi-valiolone synthase","Pedobacter sp."
"2235","dgaE","4.3.1.29","","D-glucosaminate-6-phosphate ammonia lyase","Pedobacter sp."
"2236","petJ","","","Cytochrome c6","Pedobacter sp."
"2237","gcdC","4.1.1.70","COG0511","Glutaconyl-CoA decarboxylase subunit gamma","Pedobacter sp."
"2238","nqo9","1.6.5.11","COG1143","NADH-quinone oxidoreductase subunit 9","Pedobacter sp."
"2239","nqo4","1.6.5.11","COG0649","NADH-quinone oxidoreductase subunit 4","Pedobacter sp."
"2240","nuoC","1.6.5.11","COG0852","NADH-quinone oxidoreductase subunit C","Pedobacter sp."
"2241","pckA","4.1.1.49","","Phosphoenolpyruvate carboxykinase (ATP)","Pedobacter sp."
"2242","yciH","","COG0023","putative protein YciH","Pedobacter sp."
"2243","frdB","1.3.5.1","COG0479","Fumarate reductase iron-sulfur subunit","Pedobacter sp."
"2244","frdA","1.3.5.4","","Fumarate reductase flavoprotein subunit","Pedobacter sp."
"2245","pabA","2.6.1.85","COG0512","Aminodeoxychorismate synthase component 2","Pedobacter sp."
"2246","queD","4.1.2.50","COG0720","6-carboxy-5,6,7,8-tetrahydropterin synthase","Pedobacter sp."
"2247","acnD","4.2.1.117","COG1048","2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)","Pedobacter sp."
"2248","punA","2.4.2.1","COG0005","Purine nucleoside phosphorylase 1","Pedobacter sp."
"2249","blaB","","","Beta-lactamase regulatory protein BlaB","Pedobacter sp."
"2250","dpp5","3.4.14.-","COG1506","Dipeptidyl-peptidase 5","Pedobacter sp."
"2251","rpmJ","","COG0257","50S ribosomal protein L36","Pedobacter sp."
"2252","rpsN2","","COG0199","Alternate 30S ribosomal protein S14","Pedobacter sp."
"2253","ybaL","","COG1226","Putative cation/proton antiporter YbaL","Pedobacter sp."
"2254","sigK","","","ECF RNA polymerase sigma factor SigK","Pedobacter sp."
"2255","gap","1.2.1.12","COG0057","Glyceraldehyde-3-phosphate dehydrogenase","Pedobacter sp."
"2256","rmlD","1.1.1.133","","dTDP-4-dehydrorhamnose reductase","Pedobacter sp."
"2257","atpD","3.6.3.14","COG0055","ATP synthase subunit beta","Pedobacter sp."
"2258","cbpA","","COG2214","Curved DNA-binding protein","Pedobacter sp."
"2259","ampC","3.5.2.6","","Beta-lactamase","Pedobacter sp."
"2260","pdhB","1.2.4.1","COG0022","Pyruvate dehydrogenase E1 component subunit beta","Pedobacter sp."
"2261","ndx1","3.6.1.61","COG0494","Diadenosine hexaphosphate hydrolase","Pedobacter sp."
"2262","clpB1","","COG0542","Chaperone protein ClpB 1","Pedobacter sp."
"2263","cspJ","","","Cold shock-like protein CspJ","Pedobacter sp."
"2264","nahK","2.7.1.162","","N-acetylhexosamine 1-kinase","Pedobacter sp."
"2265","icaB","3.5.1.-","COG0726","Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase","Pedobacter sp."
"2266","exoI","3.2.1.52","COG3525","Beta-hexosaminidase","Pedobacter sp."
"2267","tfdD","5.1.1.-","COG4948","D-Ala-D/L-Ala epimerase","Pedobacter sp."
"2268","pcrA","3.6.4.12","","ATP-dependent DNA helicase PcrA","Pedobacter sp."
"2269","murA1","2.5.1.7","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","Pedobacter sp."
"2270","cbs","4.2.1.22","COG0031","Putative cystathionine beta-synthase","Pedobacter sp."
"2271","cusB","","","Cation efflux system protein CusB","Pedobacter sp."
"2272","cusA","","COG3696","Cation efflux system protein CusA","Pedobacter sp."
"2273","pehA","3.1.4.-","","Multifunctional alkaline phosphatase superfamily protein PehA","Pedobacter sp."
"2274","fadF","1.-.-.-","COG0247","putative iron-sulfur-binding oxidoreductase FadF","Pedobacter sp."
"2275","dnrC","2.1.1.288","","Aklanonic acid methyltransferase DnrC","Pedobacter sp."
"2276","dctA","","COG1301","C4-dicarboxylate transport protein","Pedobacter sp."
"2277","ypdA","2.7.13.3","COG3275","Sensor histidine kinase YpdA","Pedobacter sp."
"2278","btsR","","COG3279","Transcriptional regulatory protein BtsR","Pedobacter sp."
"2279","hmgA","1.13.11.5","COG3508","Homogentisate 1,2-dioxygenase","Pedobacter sp."
"2280","tdk","2.7.1.21","COG1435","Thymidine kinase","Pedobacter sp."
"2281","valG","2.4.1.338","COG0463","Validoxylamine A glucosyltransferase","Pedobacter sp."
"2282","hisC","2.6.1.9","COG0079","Histidinol-phosphate aminotransferase","Pedobacter sp."
"2283","ykfC","3.4.14.13","","Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase","Pedobacter sp."
"2284","ftsE","","COG2884","Cell division ATP-binding protein FtsE","Pedobacter sp."
"2285","natA","","COG4555","ABC transporter ATP-binding protein NatA","Pedobacter sp."
"2286","yhaP","","COG1668","putative protein YhaP","Pedobacter sp."
"2287","maf","","COG0424","Septum formation protein Maf","Pedobacter sp."
"2288","yceM","1.-.-.-","COG0673","Putative oxidoreductase YceM","Pedobacter sp."
"2289","moeZ","","COG0476","putative adenylyltransferase/sulfurtransferase MoeZ","Pedobacter sp."
"2290","moaA1","4.1.99.22","COG2896","GTP 3',8-cyclase 1","Pedobacter sp."
"2291","pucB","","COG2068","Purine catabolism protein PucB","Pedobacter sp."
"2292","yknX","","COG0845","Putative efflux system component YknX","Pedobacter sp."
"2293","eriC","","COG0038","Chloride/fluoride channel protein","Pedobacter sp."
"2294","mlc","","COG1940","Protein mlc","Pedobacter sp."
"2295","chb","3.2.1.52","","Chitobiase","Pedobacter sp."
"2296","fklB","5.2.1.8","COG0545","FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase","Pedobacter sp."
"2297","yhhQ","","COG1738","Queuosine precursor transporter","Pedobacter sp."
"2298","yafV","3.5.1.3","","Omega-amidase YafV","Pedobacter sp."
"2299","msrAB","","COG0225","Peptide methionine sulfoxide reductase MsrA/MsrB","Pedobacter sp."
"2300","bioF","2.3.1.47","","8-amino-7-oxononanoate synthase","Pedobacter sp."
"2301","bioD","6.3.3.3","","ATP-dependent dethiobiotin synthetase BioD","Pedobacter sp."
"2302","mmgB","1.1.1.157","COG1250","putative 3-hydroxybutyryl-CoA dehydrogenase","Pedobacter sp."
"2303","speA","4.1.1.19","","Biosynthetic arginine decarboxylase","Pedobacter sp."
"2304","mlrA","","COG0789","HTH-type transcriptional regulator MlrA","Pedobacter sp."
"2305","ltaS1","","COG1368","Lipoteichoic acid synthase 1","Pedobacter sp."
"2306","bioA","2.6.1.62","","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","Pedobacter sp."
"2307","rfaE","2.7.1.167","COG2870","D-beta-D-heptose 7-phosphate kinase","Pedobacter sp."
"2308","macB","3.6.3.-","COG0577","Macrolide export ATP-binding/permease protein MacB","Pedobacter sp."
"2309","yvqK","2.5.1.17","COG2096","Cob(I)yrinic acid a,c-diamide adenosyltransferase","Pedobacter sp."
"2310","yknY","3.6.3.-","COG1136","putative ABC transporter ATP-binding protein YknY","Pedobacter sp."
"2311","dck","2.7.1.74","COG1428","Deoxyadenosine/deoxycytidine kinase","Pedobacter sp."
"2312","kpsU","2.7.7.38","COG1212","3-deoxy-manno-octulosonate cytidylyltransferase","Pedobacter sp."
"2313","pbpE","","COG1680","Penicillin-binding protein 4*","Pedobacter sp."
"2314","mfpA","","COG1357","Pentapeptide repeat protein MfpA","Pedobacter sp."
"2315","lysC","2.7.2.4","COG0527","Lysine-sensitive aspartokinase 3","Pedobacter sp."
"2316","pgcA","5.4.2.2","","Phosphoglucomutase","Pedobacter sp."
"2317","fdhC","","","Fructose dehydrogenase cytochrome subunit","Pedobacter sp."
"2318","asnS","6.1.1.22","COG0017","Asparagine--tRNA ligase","Pedobacter sp."
"2319","trpD2","2.4.2.18","COG0547","Anthranilate phosphoribosyltransferase 2","Pedobacter sp."
"2320","ltaA","4.1.2.49","","L-allo-threonine aldolase","Pedobacter sp."
"2321","allB","3.5.2.5","COG0044","Allantoinase","Pedobacter sp."
"2322","alkB1","1.14.15.3","","Alkane 1-monooxygenase 1","Pedobacter sp."
"2323","pfkA","2.7.1.11","COG0205","ATP-dependent 6-phosphofructokinase 1","Pedobacter sp."
"2324","glgB","2.4.1.18","COG0296","1,4-alpha-glucan branching enzyme GlgB","Pedobacter sp."
"2325","yegT","","","Putative nucleoside transporter YegT","Pedobacter sp."
"2326","ntdC","1.1.1.361","COG0673","Glucose-6-phosphate 3-dehydrogenase","Pedobacter sp."
"2327","iolE","4.2.1.44","COG1082","Inosose dehydratase","Pedobacter sp."
"2328","kbl","2.3.1.29","COG0156","2-amino-3-ketobutyrate coenzyme A ligase","Pedobacter sp."
"2329","ftsI","3.4.16.4","COG0768","Peptidoglycan D,D-transpeptidase FtsI","Pedobacter sp."
"2330","yheI","3.6.3.-","COG1132","putative multidrug resistance ABC transporter ATP-binding/permease protein YheI","Pedobacter sp."
"2331","gdhB","1.1.5.2","COG2133","Quinoprotein glucose dehydrogenase B","Pedobacter sp."
"2332","puo","1.4.3.10","","Putrescine oxidase","Pedobacter sp."
"2333","fabG1","1.1.1.100","","3-oxoacyl-[acyl-carrier-protein] reductase FabG1","Pedobacter sp."
"2334","tatAd","","","Sec-independent protein translocase protein TatAd","Pedobacter sp."
"2335","gdhIV","1.1.1.47","COG1028","Glucose 1-dehydrogenase 4","Pedobacter sp."
"2336","amiD","3.5.1.28","COG3023","N-acetylmuramoyl-L-alanine amidase AmiD","Pedobacter sp."
"2337","estD","3.1.1.1","COG1073","Esterase EstD","Pedobacter sp."
"2338","prrA","","","Transcriptional regulatory protein PrrA","Pedobacter sp."
"2339","azu","","","Azurin","Pedobacter sp."
"2340","rcsB","","","Transcriptional regulatory protein RcsB","Pedobacter sp."
"2341","nrdJ","1.17.4.1","COG0209","Vitamin B12-dependent ribonucleotide reductase","Pedobacter sp."
"2342","pyk","2.7.1.40","COG0469","Pyruvate kinase","Pedobacter sp."
"2343","argF'","2.1.3.9","COG0078","N-acetylornithine carbamoyltransferase","Pedobacter sp."
"2344","lysJ","2.6.1.-","COG4992","[LysW]-aminoadipate semialdehyde transaminase","Pedobacter sp."
"2345","lvr","1.1.1.-","","Levodione reductase","Pedobacter sp."
"2346","pdaA","3.5.1.-","COG0726","Peptidoglycan-N-acetylmuramic acid deacetylase PdaA","Pedobacter sp."
